Date,Midcoast,JW Group,Heartbreakers FC,The Real Portland Timbers,One Love FC,Duppy Conquerors,Thunder FC,The Escape Room,Farmers FC,Lone Pine,U Gonna Learn Today,Portland Phoenix FC,Old Port FC,Yankee Ford Sporting Club,Carlos Auto Repair,Baxter Pines FC
2021-06-22,143.4295117465239,,,143.4295117465239,143.4295117465239,,,143.4295117465239,,,,,,,,
2021-06-24,143.4295117465239,,,143.4295117465239,143.4295117465239,143.4295117465239,,143.4295117465239,,143.4295117465239,143.4295117465239,,,143.4295117465239,,
2021-06-25,129.277487426983,144.0121494876503,,124.79671686659606,143.4295117465239,143.4295117465239,,124.79671686659606,,143.4295117465239,143.4295117465239,,,143.4295117465239,,
2021-06-29,110.90492300337115,144.0121494876503,,124.79671686659606,143.4295117465239,143.4295117465239,,124.79671686659606,,117.83421417876555,130.46828684544127,,,130.46828684544127,,
2021-07-01,110.90492300337115,125.04342909598273,,124.79671686659606,124.79671686659606,124.79671686659606,,112.68158936498511,,117.83421417876555,130.46828684544127,,,130.46828684544127,,
2021-07-06,97.54106191198059,125.04342909598273,,124.79671686659606,124.79671686659606,105.3888206473637,,103.28653216988322,,117.83421417876555,115.64380711579332,,,130.46828684544127,,
2021-07-08,97.54106191198059,125.04342909598273,,109.53923973712647,108.20118989343955,105.3888206473637,,103.28653216988322,,103.98057450723994,115.64380711579332,,,112.91842233770709,,
2021-07-13,97.54106191198059,119.11071340902113,,109.53923973712647,108.20118989343955,105.3888206473637,,92.41799333232711,,92.8823327660732,110.97080266109225,,,112.91842233770709,,
2021-07-15,94.63713112737838,119.11071340902113,,101.1697362966923,108.20118989343955,97.95960313691056,,92.41799333232711,,92.8823327660732,110.97080266109225,,,108.37990475789599,,
2021-07-20,88.76648841165569,119.11071340902113,,95.7061597075544,101.48600620142416,97.95960313691056,,86.96035229568325,,92.8823327660732,110.97080266109225,,,108.37990475789599,,
2021-07-22,88.76648841165569,119.11071340902113,,95.7061597075544,101.48600620142416,94.81612776624749,,86.96035229568325,,87.3941320383791,101.46977458755407,,,104.10067484903622,,
2021-07-27,88.76648841165569,119.11071340902113,,89.36799974171281,93.32475415663157,94.81612776624749,,86.96035229568325,,82.6007233552045,93.31255996486648,,,104.10067484903622,,
2021-07-29,88.76648841165569,111.42696041738235,,89.36799974171281,93.32475415663157,90.99625709158272,,82.3304310936291,,82.6007233552045,93.31255996486648,,,96.04538271651069,,
2021-08-03,88.76648841165569,111.42696041738235,,89.36799974171281,91.05249217206988,85.31655175439889,,78.15409636229542,,82.6007233552045,93.31255996486648,,,93.56499737701235,,
2021-08-05,77.93112143038871,103.5349713002109,,78.30001763365597,91.05249217206988,85.31655175439889,,78.15409636229542,,79.45018993120298,93.31255996486648,,,93.56499737701235,,
2021-08-10,72.8596418618736,103.5349713002109,,78.30001763365597,82.8459280330535,85.31655175439889,,78.15409636229542,,77.80250122015532,93.31255996486648,,,90.84934092247445,,
2021-08-11,72.8596418618736,94.19742683828485,,78.30001763365597,82.8459280330535,78.66168247366537,,74.23093245313366,,72.79616861824505,93.31255996486648,,,90.84934092247445,,
2021-08-12,72.8596418618736,92.01629019686956,,76.70524536800805,81.37265729404886,78.66168247366537,,74.23093245313366,,72.79616861824505,90.58662809618598,,,90.84934092247445,,
2021-08-17,72.8596418618736,92.01629019686956,,76.70524536800805,70.60815820724582,68.98762516894604,,69.66199985357764,,68.49381867722029,90.58662809618598,,,90.84934092247445,,
2021-08-18,68.4041320069503,92.01629019686956,,71.48398434569285,70.60815820724582,68.98762516894604,,69.66199985357764,,68.49381867722029,90.30552914545525,,,90.56560913294453,,
2021-08-19,68.4041320069503,83.9376624027308,,71.48398434569285,68.19686319201024,68.98762516894604,,67.34844651095284,,68.49381867722029,90.30552914545525,,,82.87550057653739,,
2021-08-24,68.4041320069503,77.97812110335089,,67.84938265151385,68.19686319201024,65.87740818882227,,67.34844651095284,,68.49381867722029,83.17891948535588,,,82.87550057653739,,
2021-08-25,68.4041320069503,77.97812110335089,,67.84938265151385,68.19686319201024,63.99134860206773,,65.33000594641528,,68.49381867722029,83.17891948535588,,,82.87550057653739,,
2021-08-26,66.84649121810467,75.77661149779968,,67.84938265151385,68.19686319201024,63.99134860206773,,65.33000594641528,,67.01475845828841,80.34307448419597,,,82.87550057653739,,
2021-08-31,66.84649121810467,75.77661149779968,,60.7146826085501,60.88800242632882,63.99134860206773,,58.93910696013366,,60.150870122256,80.34307448419597,,,82.87550057653739,,
2021-09-02,65.5067973625867,74.91194850025599,,60.7146826085501,60.88800242632882,63.482032198432165,,58.93910696013366,,60.150870122256,77.9879425904995,,,82.87550057653739,,
2021-09-07,62.49612793928976,74.91194850025599,,60.7146826085501,60.88800242632882,60.74846229166341,,58.48089802362595,,60.150870122256,76.88673500010367,,,82.87550057653739,,
2021-09-14,59.46229622303845,74.91194850025599,,60.214570866778544,58.08816638186586,60.74846229166341,,58.48089802362595,,60.150870122256,75.84036422587349,,,82.87550057653739,,
2021-09-16,59.46229622303845,73.80147916309704,,60.214570866778544,57.58701943798087,58.272023004082655,,58.48089802362595,,57.74865499763867,75.84036422587349,,,82.87550057653739,,
2021-09-21,59.46229622303845,73.72468767994212,,60.214570866778544,55.143805318785375,58.272023004082655,,58.48089802362595,,55.28424385305559,75.75492250349251,,,82.87550057653739,,
2021-09-23,58.0981300838811,71.08288901055121,,58.687300913900835,55.143805318785375,56.89184211275791,,58.48089802362595,,55.28424385305559,75.75492250349251,,,82.87550057653739,,
2021-09-28,58.0981300838811,64.12309477068887,,54.847358150947755,52.02122549991668,56.89184211275791,,58.48089802362595,,55.28424385305559,67.38597230145648,,,82.87550057653739,,
2021-09-30,54.7735007997541,64.12309477068887,,52.41686931648785,52.02122549991668,56.89184211275791,,55.518608340291856,,52.43209782192061,67.38597230145648,,,82.87550057653739,,
2021-10-05,51.776679170147275,64.12309477068887,,52.41686931648785,50.87802626867534,56.89184211275791,,54.11954478752473,,49.81374312443478,67.38597230145648,,,82.87550057653739,,
2021-10-07,51.776679170147275,63.84763021981336,,49.134853599049926,50.87802626867534,52.66130442894575,,54.11954478752473,,49.81374312443478,67.06170508400241,,,82.87550057653739,,
2021-10-12,51.776679170147275,63.84763021981336,,48.37619129401495,50.03122460491404,52.66130442894575,,54.11954478752473,,49.05924280676029,65.16240869185054,,,82.87550057653739,,
2021-10-19,51.776679170147275,63.84763021981336,,48.37619129401495,47.74264090304331,52.66130442894575,,54.11954478752473,,49.05924280676029,59.980199961409866,,,82.87550057653739,,
2022-06-14,,,,,47.74264090304331,49.613506970987125,166.25454553389932,53.213015336962535,,49.05924280676029,58.73213401032266,,,,,
2022-06-16,,,,,46.81770655672095,49.613506970987125,166.25454553389932,53.213015336962535,143.4295117465239,48.05191538215192,58.73213401032266,143.4295117465239,,,,
2022-06-21,,,,,42.788938409189214,49.613506970987125,165.2949889362685,51.18035946612362,143.4295117465239,48.05191538215192,58.73213401032266,96.16299785919327,,,,
2022-06-23,,,,,42.788938409189214,47.97682181477522,165.2949889362685,51.18035946612362,119.53539367446959,47.248336357698875,55.976071560254034,96.16299785919327,,,,
2022-06-28,,,,,41.70386905156697,47.97682181477522,164.5893484412631,51.18035946612362,119.53539367446959,43.71647763827682,53.47710698764341,96.16299785919327,,,,
2022-06-30,,,,,41.70386905156697,47.166006833241774,164.5893484412631,49.390023824675865,94.13052382598971,43.71647763827682,53.47710698764341,89.23285179111272,,,,
2022-07-05,,,,,41.70386905156697,45.98879798645834,164.26114193863256,48.03109582194082,76.88767128028014,43.71647763827682,53.47710698764341,89.23285179111272,,,,
2022-07-07,,,,,41.26309671873291,45.98879798645834,164.26114193863256,48.03109582194082,76.88767128028014,43.14181967284295,52.38994029793581,84.51396098630816,,,,
2022-07-12,,,,,41.26309671873291,45.98879798645834,163.59945617542024,48.03109582194082,76.88767128028014,41.385292276431315,46.36854692868909,70.16250247884348,,,,
2022-07-14,,,,,39.64030725439754,43.74741680741668,163.59945617542024,45.42954948017702,65.75725499564993,41.385292276431315,46.36854692868909,70.16250247884348,,,,
2022-07-19,,,,,38.48124354092708,42.16943644417629,163.59945617542024,43.67718004243226,65.75725499564993,40.075025552056374,46.36854692868909,70.16250247884348,,,,
2022-07-21,,,,,38.48124354092708,42.16943644417629,163.44630506084184,43.67718004243226,59.60711540969571,40.075025552056374,44.2861191886131,57.3695261541495,,,,
2022-07-26,,,,,38.48124354092708,42.16943644417629,162.90230034793663,41.16370430446941,59.60711540969571,40.075025552056374,43.57427818521781,55.770054337683376,,,,
2022-07-28,,,,,37.67958714148064,40.531809608670564,162.90230034793663,41.16370430446941,56.47215286567763,38.678358576670526,43.57427818521781,55.770054337683376,,,,
2022-08-02,,,,,37.67958714148064,38.46785656175971,161.5760803894447,40.57861241517824,56.47215286567763,38.678358576670526,42.87163506644472,55.770054337683376,,,,
2022-08-04,,,,,36.092554222734876,38.46785656175971,161.5760803894447,40.57861241517824,53.96908235065127,36.95592905091146,42.87163506644472,53.36172795416351,,,,
2022-08-09,,,,,34.4990686910989,38.46785656175971,160.7149008435813,40.57861241517824,51.020721874366856,36.05136161109097,42.87163506644472,53.36172795416351,,,,
2022-08-11,,,,,34.4990686910989,36.815705260484634,160.7149008435813,39.44710520796251,51.020721874366856,36.05136161109097,40.555258685884695,50.71055815306269,,,,
2022-08-16,,,,,33.82369698849759,36.815705260484634,160.7149008435813,38.4676741334449,48.83518764130351,36.05136161109097,39.42339086679254,50.71055815306269,,,,
