Date,Midcoast,Duppy Conquerors,JW Group,Yankee Ford Sporting Club,The Real Portland Timbers,Carlos Auto Repair,Heartbreakers FC,Portland Phoenix FC,Thunder FC,Lone Pine,Old Port FC,U Gonna Learn Today,The Escape Room,One Love FC,Farmers FC,Baxter Pines FC
2021-06-22,1763.7499211999495,,,,1236.25007880005,,,,,,,,1236.25007880005,1763.7499211999495,,
2021-06-24,1763.7499211999495,1763.7499211999495,,1236.25007880005,1236.25007880005,,,,,1236.25007880005,,1763.7499211999495,1236.25007880005,1763.7499211999495,,
2021-06-25,1917.4308738454422,1763.7499211999495,1292.4965637754517,1236.25007880005,1015.6390702060438,,,,,1236.25007880005,,1763.7499211999495,1456.8610873940563,1763.7499211999495,,
2021-06-29,1567.0296588911822,1763.7499211999495,1292.4965637754517,1126.2222582237441,1015.6390702060438,,,,,1667.5538923317608,,1873.777741776256,1456.8610873940563,1763.7499211999495,,
2021-07-01,1567.0296588911822,1984.360929793956,1101.4666053899866,1126.2222582237441,1015.6390702060438,,,,,1667.5538923317608,,1873.777741776256,1600.320426198858,1543.1389126059432,,
2021-07-06,1807.4298023481313,1679.9790622377423,1101.4666053899866,1126.2222582237441,1015.6390702060438,,,,,1667.5538923317608,,2015.783574980901,1494.3886319886121,1543.1389126059432,,
2021-07-08,1807.4298023481313,1679.9790622377423,1101.4666053899866,899.6652646761327,1222.930076855923,,,,,1471.9497007160355,,2015.783574980901,1494.3886319886121,1762.5366958071359,,
2021-07-13,1807.4298023481313,1679.9790622377423,1064.5674728892418,899.6652646761327,1222.930076855923,,,,,1622.8584877541225,,2047.3446812104933,1345.4871569852994,1762.5366958071359,,
2021-07-15,1827.8150077481341,1750.1645310409692,1064.5674728892418,872.3479779251805,1147.1090803993586,,,,,1622.8584877541225,,2047.3446812104933,1345.4871569852994,1762.5366958071359,,
2021-07-20,1882.0324729813572,1750.1645310409692,1064.5674728892418,872.3479779251805,1100.7721401071303,,,,,1622.8584877541225,,2047.3446812104933,1293.7817822511502,1815.5366352611031,,
2021-07-22,1882.0324729813572,1772.1658050466149,1064.5674728892418,845.4184760624904,1100.7721401071303,,,,,1564.3611662209958,,2130.836774034512,1293.7817822511502,1815.5366352611031,,
2021-07-27,1882.0324729813572,1772.1658050466149,1064.5674728892418,845.4184760624904,1042.9356689331382,,,,,1612.590669521083,,2216.7296283077435,1293.7817822511502,1729.616306499088,,
2021-07-29,1882.0324729813572,1805.233038283618,1012.3896523018207,774.8966212623839,1042.9356689331382,,,,,1612.590669521083,,2216.7296283077435,1342.997906571933,1729.616306499088,,
2021-08-03,1882.0324729813572,1857.7602444255526,1012.3896523018207,759.6443657641738,1042.9356689331382,,,,,1612.590669521083,,2216.7296283077435,1299.995744196761,1744.0169709674992,,
2021-08-05,1591.9080669236405,1857.7602444255526,954.8611791445745,759.6443657641738,1337.003966244663,,,,,1644.209776957851,,2216.7296283077435,1299.995744196761,1744.0169709674992,,
2021-08-10,1519.570439871012,1857.7602444255526,954.8611791445745,742.9063444953491,1337.003966244663,,,,,1656.280143737742,,2216.7296283077435,1299.995744196761,1842.752390754414,,
2021-08-11,1519.570439871012,1938.185202833074,868.0677716209857,742.9063444953491,1337.003966244663,,,,,1589.392650606128,,2216.7296283077435,1349.4610878837148,1842.752390754414,,
2021-08-12,1519.570439871012,1938.185202833074,855.4329525798294,742.9063444953491,1325.1721311539795,,,,,1589.392650606128,,2233.531218893,1349.4610878837148,1852.526407475634,,
2021-08-17,1519.570439871012,1918.382048949665,855.4329525798294,742.9063444953491,1325.1721311539795,,,,,1645.4586471429368,,2233.531218893,1291.1644346939252,1873.717440490199,,
2021-08-18,1580.7768629128868,1918.382048949665,855.4329525798294,741.6690170121351,1257.337595237186,,,,,1645.4586471429368,,2234.7614030641375,1291.1644346939252,1873.717440490199,,
