Date,Week,Home,Away,Home Elo,Away Elo,Win,Draw,Lose,Home Score,Away Score,Elo +/-
2021-10-07,Quarter-Finals,Duppy Conquerors,The Real Portland Timbers,1692.06,1305.39,81,18,1,0.0,1.0,-45.13
2023-06-15,Week 1,Envy Construction,U Gonna Learn Today,1491.15,1866.13,1,19,80,3.0,2.0,35.86
2022-07-14,Week 5,One Love FC,Escape Room,1747.31,1402.88,77,22,1,3.0,4.0,-35.16
2022-06-21,Week 2,Real FC United Thunder,One Love FC,1487.99,1795.57,2,25,73,3.0,2.0,34.18
2024-09-12,Week 13,Farmers FC,Baxter Pines FC,1642.74,1349.66,71,27,2,1.0,2.0,-33.75
2022-07-21,Week 6,Farmers FC,U Gonna Learn Today,1524.36,1779.69,3,31,66,1.0,0.0,32.52
2022-09-27,Quarter-Finals,Real FC United Thunder,Escape Room,1637.95,1382.55,66,31,3,1.0,3.0,-60.98
2021-08-05,Week 7,The Real Portland Timbers,Midcoast,1370.75,1615.14,4,31,65,3.0,2.0,32.13
2024-10-03,Quarter-Finals,Farmers FC,Baxter Pines FC,1619.35,1378.28,64,32,4,1.0,2.0,-40.01
2023-06-22,Week 2,The Escapees,One Love FC,1430.75,1638.54,5,36,59,2.0,1.0,30.71
